PROVIDER_NUMBER,FYB,FYE,STATUS,Hha_Name,Street_Addr,City,State,Zip_Code
108456,01-JAN-10,31-DEC-10,Settled,A PLUS QUALITY HOME HEALTH CARE,10286 NW 47TH ST,SUNRISE,FL,33351-7967
109140,01-JAN-10,31-DEC-10,Settled,FIRST CARE HOME SERVICES,PO BOX 640342,MIAMI,FL,33164-0342
109348,01-JAN-10,31-DEC-10,Settled,PQN INC,6625 MIAMI LAKES DRIVE SUITE 317,MIAMI LAKES,FL,33014-2702
109567,03-FEB-10,31-DEC-10,Settled,M & D HOME HEALTH CARE INC,1840 WEST 49 STREET STE 309,HIALEAH,FL,33012
368396,03-OCT-11,31-DEC-11,As Submitted,HOME HEALTH OF FINDLAY LLC DBA AMERI,2135 TIFFIN AVE,FINDLAY,OH,45840
377694,01-JAN-11,31-DEC-11,As Submitted,MDR HEALTH GROUP LLC DBA ONE HEALTH,3015 E. SKELLY DRIVE SUITE 308,TULSA,OK,74015-6317
747476,01-JAN-11,31-DEC-11,As Submitted,KINGS HEALTH CARE LLC,9550 SKILLMAN STREET STE 102,DALLAS,TX,75243
107697,01-JAN-11,31-DEC-11,As Submitted,GOLDENCARE HOME HEALTH AGENCY,760 PONCE DE LEON BLVD S-107,CORAL GABLES,FL,33134
678056,01-JAN-98,08-MAY-98,As Submitted,EXCLUSIVE HOME HEALTH CARE  INC.,8746 WURZBACH  SUITE 206,SAN ANTONIO,TX,78240
678066,01-JAN-99,31-DEC-99,Settled,PASOS HOUSTON HOME CARE,2472 BOLSOVER  SUITE 345,HOUSTON,TX,77005-
678071,01-OCT-96,30-SEP-97,Settled,MOMENTUM HEALTH OPTIONS,3120 SOUTHWEST FRWY  SUITE 410,HOUSTON,TX,77098
678075,01-DEC-96,31-DEC-97,Settled,FAMILY CONNECTIONS HOME HEALTH  INC.,407 N. CEDAR RIDGE  SUITE 230,DUNCANVILLE,TX,75116
678102,01-JAN-97,31-DEC-97,Settled,DEPENDABLE HOME HEALTH CARE  INC.,1328 CALLAHAN ROAD,SAN ANTONIO,TX,78228
678107,01-JAN-98,31-DEC-98,Settled,BENEFICIAL HOME HEALTH CARE  INC.,921 MATAGORDA,SAN ANTONIO,TX,78210
678114,01-JAN-98,31-DEC-98,Settled,PECOS HOME HEALTH  INC.,721 S. PALM,PECOS,TX,79772
678122,01-JAN-99,02-AUG-99,Settled,GUARDIAN HOME HEALTH CARE INC,924 WEST PARK STREET,WILLS POINT,TX,75169
678123,01-JUL-96,15-APR-97,Settled,THE CARE GROUP PLUS HOME HEALTH CARE,10600 FONDREN  SUITE 218,HOUSTON,TX,77096
678134,01-JAN-99,31-MAR-99,As Submitted,TRIPLE CARE NURSING AGENCY  INC.,11230 WEST AVENUE  SUITE 2206-2208,SAN ANTONIO,TX,78213
678142,01-JAN-97,04-JUL-97,Settled,BETHEL HOME HEALTH,8560 PARK LN UNIT 22,DALLAS,TX,75231
678159,01-JAN-98,31-DEC-98,Settled,HOME & COMMUNITY MEDICAL SERVICES,124 NEWTON,BURLESON,TX,76028
678184,01-JAN-99,31-DEC-99,Settled,QUALITY HOME HEALTH CARE,821 LINDBERG,MCALLEN,TX,78502
678186,01-JAN-98,31-DEC-98,Settled,CARING HOME HEALTH,800 N. SHORELINE SUITE 1050,CORPUS CHRISTI,TX,78401
678193,01-JAN-98,31-DEC-98,Settled,GCI SAN ANTONIO,4120 FIVE POINTS ROAD,CORPUS CHRISTI,TX,78410
678212,01-JAN-97,31-DEC-97,Settled,DADE HEALTH CARE SERVICES,119 EXECUTIVE WAY #302,DESOTO,TX,75115
678218,01-JUN-97,31-MAY-98,Settled,UNI-CARE HOME HEALTH  INC,2345 I-10 EAST SUITE 1,BEAUMONT,TX,77702
678228,01-JAN-97,31-DEC-97,Settled,V.I.P. HOME HEALTH CARE,1229 E. PLEASANT RUN#216,DESOTO,TX,75115
678250,12-JUN-96,30-JUN-97,Settled,READY AND REALIABLE HOME CARE,410 S.P.I.D.  SUITE 206,TX,78468,
678255,01-JAN-97,31-DEC-97,Settled,JOMAR HOME HEALTH AGENCY,15851 FM 624  SUITE E,ROBSTOWN,TX,78380
678270,01-JAN-97,31-DEC-97,Settled,FROM THE HEART HOME CARE  INC.,1120 LINDBERG AVENUE SUITE A-6,MCALLEN,TX,78501
678297,01-JUL-97,30-JUN-98,Settled,EXPO HHA  INC.,108 W BROAD ST  STE 108,FORNEY,TX,75126-1587
678307,01-JAN-98,08-SEP-98,Settled,QUALITY FIRST HOME HEALTH SERVICES,400 WOODLAND COURT,HURST,TX,76053
678317,01-JUL-97,30-JUN-98,Settled,FIDELITY HEALTH CARE SERVICES  INC,1140 EMPIRE CENTRAL,DALLAS,TX,75247
678329,01-JUN-97,31-MAY-98,Settled,CRAWFORD HOME CARE  INC.,10425 EAGLE DRIVE  SUITE 2,MONT BELVIEU,TX,77580
678349,01-JAN-98,12-AUG-98,Settled,WILCARE  INC.,3300 S. GESSNER  SUITE 115,HOUSTON,TX,77063
477000,01-JUL-10,30-JUN-11,As Submitted,VNA OF CHITTENDEN & GRAND ISLE,1110 PRIM ROAD,COLCHESTER,VT,05446
197231,01-JUL-10,30-JUN-11,Settled,CHRISTIAN HOME HEALTH CARE,733 JACKSON AVENUE STE A,NEW ORLEANS,LA,70130
347136,01-JUL-10,30-JUN-11,Settled,DUKE HOME HEALTH,4321 MEDICAL PARK DRIVE  SUITE 101,DURHAM,NC,27704-2175
059267,22-JUN-10,31-DEC-10,Settled,ADVANCE HOME CARE,1903 GLENOAKS BLVD SUITE B,BURBANK,CA,91504-3826
527180,01-JUL-10,30-JUN-11,Settled,DOVE  INC.,1416 CUMMING AVENUE,SUPERIOR,WI,54880
077176,01-JUL-10,30-JUN-11,As Submitted,VNA VALLEY CARE  INC.,8 OLD MILL LANE,SIMSBURY,CT,06070-1932
167088,01-JUL-10,30-JUN-11,Settled,KEOKUK COUNTY PHNS,101 SOUTH MAIN  COURTHOUSE,SIGOURNEY,IA,52591
167064,01-JUL-10,30-JUN-11,As Submitted,HANCOCK CO. PUBLIC HEALTH SERVICES,545 STATE STREET,GARNER,IA,50438
537830,01-JUL-10,30-JUN-11,As Submitted,SUBLETTE CENTER HOME HEALTH,333 N BRIDGER,PINEDALE,WY,82941-0788
147047,01-JUL-10,30-JUN-11,As Submitted,CNS DUPAGE,690 E NORTH AVE,CAROL STREAM,IL,60188
117075,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH - VIDALIA,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
257121,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH - MERIDIAN,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
058254,01-JAN-11,31-DEC-11,As Submitted,ANGEL CITY FAMILY CARE SERVICES  INC,12750 CENTER COURT DR. SUITE 140,CERRITOS,CA,90703
058347,01-JAN-11,31-DEC-11,As Submitted,METRO CARE HOME HEALTH SERVICES  INC,9620 CENTER AVE.  #180,RANCHO CUCAMONGA,CA,91730
059171,01-JAN-11,31-DEC-11,As Submitted,MAJESTIC HOME HEALTH CARE  INC.,1540 W GLENOAKS BLVD  SUITE 204,GLENDALE,CA,91201
237042,01-JAN-11,31-DEC-11,As Submitted,NW MICHIGAN COMM. HEALTH AGENCY,220 W. GARFIELD,CHARLEVOIX,MI,49720
237503,01-JAN-11,31-DEC-11,As Submitted,EXCEPTIONAL HOME HEALTH CARE  INC.,31000 NORTHWESTERN HWY - SUITE 145,FARMINGTON HILLS,MI,48334
237520,01-JAN-11,31-DEC-11,As Submitted,TRI-COUNTY HOMECARE LLC,660 WOODWARD AVE  # 1057,DETROIT,MI,48226
239054,01-JAN-11,31-DEC-11,As Submitted,DELTA HOME HEALTHCARE  LLC,5918 N LILLEY SUITE 4,CANTON,MI,48187
239071,01-JAN-11,31-DEC-11,As Submitted,GENTLE HOME HEALTH CARE INC,24634 FIVE MILE RD STE 33,REDFORD,MI,48239
239102,01-JAN-11,31-DEC-11,As Submitted,WINGS OF ANGEL HOME HEALTH CARE  LLC,16250 NORTHLAND DRIVE  STE 241,SOUTHFIELD,MI,48075
337036,01-JAN-11,31-DEC-11,As Submitted,LAWRENCE COMMUNITY HEALTH,69 MAIN STREET,TUCKAHOE,NY,10707
337290,01-JAN-11,31-DEC-11,As Submitted,AMERICARE CERTIFIED,171 KINGS HIGHWAY,BROOKYLN,NY,11223-1023
237446,01-JAN-11,31-DEC-11,Settled,ADVANCED HOME CARE  INC.,850 STEPHENSON HWY - SUITE 701,TROY,MI,48083
237574,01-JAN-11,31-DEC-11,Settled,SERENITY HOME HEALTH  INC,3460 EAST ELLSWORTH ROAD  SUITE 201,ANN ARBOR,MI,48108
297162,01-JAN-11,31-DEC-11,Settled,ALWAYS THERE HOME HEALTH SERVICES  I,3033 W. HORIZON RIDGE PKWY  STE 100,HENDERSON,NV,89052
337044,01-JAN-11,31-DEC-11,Settled,SARATOGA COUNTY PUBLIC HEALTH DEPT.,31 WOODLAWN AVENUE; STE 1,SARATOGA SPRINGS,NY,12866
387059,01-JAN-11,31-DEC-11,As Submitted,PACIFIC HOME CARE ASSOCIATES  INC,838 BELTLINE RD,SPRINGFIELD,OR,97477
017152,01-JAN-11,31-DEC-11,As Submitted,GENTIVA HEALTH SERVICES,1025 WEST FORT WILLIAMS ST,SYLACAUGA,AL,35150-2301
107136,01-JAN-11,31-DEC-11,As Submitted,GENTIVA HEALTH SERVICES,402 43RD STREET WEST,BRADENTON,FL,34209-2953
497271,01-JAN-11,31-DEC-11,As Submitted,GENTIVA HEALTH SERVICES,5544 GREENWICH ROAD SUITE 300,VIRGINIA BEACH,VA,23462-6563
237280,01-JAN-11,31-DEC-11,As Submitted,FAMILY HOME HEALTH SERVICES LLC,801 W ANN ARBOR TRAIL #200,PLYMOUTH,MI,48170
239104,01-JAN-11,31-DEC-11,As Submitted,PERFECT HOME HEALTH CARE  LLP,31550 NORHTWESTERN HWY SUITE # 155,FARMINGTON,MI,48334
297136,01-JAN-11,31-DEC-11,As Submitted,ABC HOME HEALTH,6370 W. FLAMINGO RD.  STE. 5C,LAS VEGAS,NV,89103
178072,01-JAN-11,31-DEC-11,As Submitted,SERENITY HOME HEALTH  LLC,453 S. WEBB RD  SUITE 410,WICHITA,KS,67207
337425,01-JAN-11,31-DEC-11,As Submitted,GENTIVA HEALTH SERVICES,50 COURT ST SUITE 1202,BROOKLYN,NY,11201-4867
497546,01-JAN-11,31-DEC-11,As Submitted,VIRGINIA HOMECARE,420 WEST PINHOOK,LAFAYTTE,LA,70503
747459,01-JAN-11,31-DEC-11,As Submitted,SUMAR HEALTHCARE SERVICES INC,314 WHEELHOUSE COURT,STAFFORD,TX,77477
148190,01-JAN-11,31-DEC-11,As Submitted,CRESCENT HOME HEALTH AGENCY  LLC,10 EMERALD TERRACE SUITE C,SWANSEA,IL,62226
157580,01-JAN-11,31-DEC-11,As Submitted,ADVANCED HOME HEALTH CARE  INC,2588 PORTAGE MALL,PORTAGE,IN,46368
247278,01-JAN-04,15-MAY-04,Settled,INTREPID OF SOUTHERN MINNESOTA,323 EAST BLUE EARTH STREET,FAIRMONT,MN,56031
297053,01-JAN-00,21-MAR-00,Reopened,HOME CARE PLUS  INC.,2110 EAST FLAMINGO ROAD  SUITE 325A,LAS VEGAS,NV,89119-
307068,01-APR-03,02-OCT-03,Settled,TLC / STAFF BUILDERS - MANCHESTER,1361 ELM STREET SUITE 302,MANCHESTER,NH,03101-
067427,01-JAN-04,15-JUN-04,Settled,HEARTLAND HOME CARE - GREELEY,1800 GREELEY MALL,GREELEY,CO,80631
467118,01-JAN-05,15-APR-05,Settled,IHC PEDIATRIC HOME CARE,2250 SOUTH 1300 WEST  SUITE A,SALT LAKE CITY,UT,84119
067426,01-JAN-04,15-JUN-04,Settled,HEARTLAND HOME CARE,1221 S. CLARKSTON STREET,DENVER,CO,80210
197745,01-AUG-98,10-MAY-99,Settled,INTERIM HEALTHCARE OF LAFAYETTE,710 VERSAILLES BLVD.,ALEXANDRIA,LA,71303-
327078,01-JAN-04,31-DEC-04,Settled,NEW MEXICO HOME & HEALTH CARE,717 W. TUCUMCARI BLVD.,TUCUMCARI,NM,88401
679296,01-JAN-04,31-DEC-04,Settled,MILTENS HEALTH MGT CORP,10333 HARWIN DR. SUITE 590,HOUSTON,TX,77036-
107148,01-JAN-04,31-DEC-04,Settled,INTERIM HEALTHCARE OF VOLUSIA CO.,2701 SOUTH RIDGEWOOD AVENUE,SOUTH DAYTONA,FL,32119
148166,01-JAN-11,31-DEC-11,As Submitted,HOME LIFE HEALTHCARE CORP.,890 E. HIGGINS ROAD  STE. 157,SCHAUMBURG,IL,60173-4799
147897,01-JAN-11,31-DEC-11,Settled,MEDICAL CITY HOME HEALTH CORP,1907 S.CICERO,CICERO,IL,60804
679102,01-JAN-11,31-DEC-11,As Submitted,TEXAS HOME HEALTH-HOUSTON,1225 N. LOOP WEST SUITE 650,HOUSTON,TX,77008-4722
117067,01-JAN-11,31-DEC-11,As Submitted,INTERIM HEALTHCARE OF ATLANTA INC,6000 LAKE FORREST DRIVE SUITE 500,ATLANTA,GA,30328
527053,01-JAN-11,31-DEC-11,As Submitted,POLK COUNTY HEALTH DEPARTMENT,100 POLK COUNTY PLAZA  SUITE 180,BALSAM LAKE,WI,54810
347236,01-JAN-11,31-DEC-11,Settled,GENTIVA HEALTH SERVICES,249 EAST NC HWY 54 SUITE 310,DURHAM,NC,27713-2490
679149,01-JAN-11,31-DEC-11,Settled,TEXAS QUALITY HOME HEALTH  INC.,9888 BISSONNET STREET  SUITE 570,HOUSTON,TX,77036-8289
747351,01-JAN-11,31-DEC-11,Settled,SKYLIGHT HOME HEALTHCARE INC.,2012 SILVERWAY LANE,CARROLLTON,TX,75010
148008,01-JAN-11,31-DEC-11,Settled,ULTRA CARE HOME HEALTH  INC.,2500 E DEVON AVENUE SUITE 325A,DES PLAINES,IL,60018
679265,01-JAN-11,31-DEC-11,Settled,DIVINE HEALTH CARE SERVICES  INC.,2737 S. BROADWAY SUITE 203,TYLER,TX,75701
497537,06-MAY-97,31-DEC-97,Settled,COMPANION HEALTCARE INC,2520 EAST BROAD STREET  SUITE 202,RICHMOND,VA,23223
157214,01-JAN-11,31-DEC-11,As Submitted,NURSEFINDERS OF INDIANAPOLIS  INC,8925 N MERIDIAN  STE 110,INDIANAPOLIS,IN,46260
677863,01-JAN-11,31-DEC-11,As Submitted,FLORENCE HC SRVC & TRAINING CNT.INC,2401 AVENUE J  SUITE 240,ARLINGTON,TX,20006
377698,01-JAN-11,31-DEC-11,As Submitted,PRAIRIE VIEW HOME HEALTH  INC.,607 E FIRST STREET,CHANDLER,OK,74834
457820,01-JAN-11,31-DEC-11,As Submitted,CLASS HEALTHCARE SERVICES INC,4615 SOUTHWEST FREEWAY  SUITE 478,HOUSTON,TX,77027
673163,01-JAN-11,31-DEC-11,As Submitted,GO-FAITH MEDICAL SERVICES INC,8449 WEST BELFORT ST # 335,HOUSTON,TX,77071
679350,01-JAN-11,31-DEC-11,As Submitted,NICKTOO HEALTHCARE SERVICES  INC,8712 BLUFFCREEK LANE,PLANO,TX,75024
743136,01-JAN-11,31-DEC-11,As Submitted,FLANEL HEALTHCARE SERVICES,301 SOUTH 9TH ST #204,RICHMOND,TX,77469
557747,01-JAN-11,31-DEC-11,As Submitted,ASIAN NETWORK PACIFIC HOME CARE,212 9TH STREET,OAKLAND,CA,94607
679235,01-DEC-10,30-NOV-11,Settled,STATE HOME HEALTH CARE INC,303 E DANIELDALE RD,DUNCANVILLE,TX,75137-4005
678379,01-JAN-99,31-DEC-99,Settled,MONARCH HOME HEALTH CARE INC.,6609 BLANCO RD #260,SAN ANTONIO,TX,78216
147846,01-JAN-11,31-DEC-11,Settled,MEDCARE HOME HEALTH SERVICES  INC.,195 N. HARBOR DRIVE  #4909,CHICAGO,IL,60601-7540
377663,01-JAN-11,31-DEC-11,Settled,HEALING TOUCH HOMECARE SERVICES  INC,5601 NORTHWEST 72ND STREET  STE 246,OKLAHOMA CITY,OK,73132
459466,01-JAN-11,31-DEC-11,Settled,OMEGA HOME HEALTH SERVICES  INC.,12425 S. SAM HOUSTON WEST,HOUSTON,TX,77031
227419,01-JAN-01,31-DEC-01,Settled,P.N.P.S.  INC,12 GROVE ST,HOPKINTON,MA,01748-2412
367754,01-JAN-11,31-DEC-11,Settled,ABSOLUTE SKILLED HOME HEALTH INC,339 E MAPLE ST.  SUITE 110,NORTH CANTON,OH,44720
059074,01-JAN-11,31-DEC-11,As Submitted,HAPPY HEALTH CARE INC,21054  SHERMAN WAY  SUITE 200,CANOGA PARK,CA,91303
557693,01-JUN-97,31-MAY-98,Settled,NURSES 4 U HOME HEALTH,4041 MARLTON AVE. #206,LOS ANGELES,CA,90008
337403,01-JAN-10,31-DEC-10,Settled,YOUNG ADULT INSTITUTE,460 WEST 34TH STREET  11TH FLOOR,NEW YORK,NY,10001
059238,22-JUL-10,31-DEC-10,Settled,HEALTH JOURNEY HOME HEALTH,14549 ARCHWOOD ST.  STE 311,VAN NUYS,CA,91405-4633
368319,01-JAN-10,31-DEC-10,Settled,OHIO HEALTHCARE PLUS  LLC,6500 BUSCH BLVD,COLUMBUS,OH,43229-8261
367458,01-JAN-11,15-APR-11,Settled,HEARTLAND HOME CARE - TOLEDO,3450 W CENTRAL AVE.  SUITE 230,TOLEDO,OH,43606-1417
657003,01-OCT-02,10-MAR-03,Settled,ISLA HOME HEALTH CARE,633 GOV CARLOS G. CAMACHO ROAD  #B-4,TAMUNING,GU,96911
557605,01-OCT-96,30-SEP-97,Settled,AMD HOME HEALTH,672 S. LAFAYETTE PARK PLACE  #32,LOS ANGELES,CA,90057
677084,01-JAN-96,15-SEP-96,Settled,OLSTEN HEALTH SERVICES,4001 AIRPORT FREEWAY   SUITE 340,BEDFORD,TX,76021
077147,01-JUL-94,31-DEC-94,Settled,NURSE REGISTRY HH CARE CTR  INC.,2 BARNARD LANE,BLOOMFIELD,CT,06002
207047,01-JAN-97,28-FEB-97,Settled,DIAMOND HEALTH CARE SERVICES  INC.,980 FOREST AVENUE,PORTLAND,ME,04103
227402,01-OCT-96,30-SEP-97,As Submitted,GOLD STANDARD  INC.,85 MAIN STREET,HOPKINTON,MA,01748
677421,01-JAN-10,31-DEC-10,Settled,INTEGRACARE OF SEYMOUR,108 E MORRIS STREET,SEYMOUR,TX,76380
457854,01-JAN-10,31-DEC-10,Settled,COMMUNITY HEALTHCARE SERVICES,1057 DONIPHAN PARK CIRCLE  STE H,EL PASO,TX,79922
747027,01-JAN-10,31-DEC-10,Settled,VALLEY MEDCARE HOME HEALTH AGENCY,,ALAMO,TX,78516-0376
017039,01-JAN-11,31-DEC-11,As Submitted,AMEDISYS HOME HEALTH OF HUNTSVILLE,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
017163,01-JAN-11,31-DEC-11,As Submitted,AMEDISYS HOME HEALTH OF MONROEVILLE,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
107510,01-JAN-11,31-DEC-11,As Submitted,TOWERS HOME CARE & REHABILITATION,404 MARIPOSA STREET SUITE A,ORLANDO,FL,32801
107633,01-JAN-11,31-DEC-11,As Submitted,GUARDIAN CARE SERVICES  INC,5777 NW 151 STREET,MIAMI LAKES,FL,33014
108054,01-JAN-11,31-DEC-11,As Submitted,COMPREHENSIVE WELLNESS SERVICES  INC,12381 S CLEVELAND AVE,FORT MYERS,FL,33907
108085,01-JAN-11,31-DEC-11,As Submitted,PRO-HEALTH NURSING SERVICES,9700 STIRLING ROAD  SUITE 105B,COOPER CITY,FL,33024
108116,01-JAN-11,31-DEC-11,As Submitted,AMERICAN ELDERCARE  INC.,204 S. HOOVER BLVD.     STE. 200,TAMPA,FL,33609
108327,01-JAN-11,31-DEC-11,As Submitted,LAKESIDE QUALITY HOME HEALTH CARE,725 EAST MAIN STREET  SUITE B,PAHOKEE,FL,33476
109155,01-JAN-11,31-DEC-11,As Submitted,A & B HEALTH SERVICES INC.,1051 W 29TH STREET SUITE # 2,HIALEAH,FL,33012-5061
109262,01-JAN-11,31-DEC-11,As Submitted,UNITED STATES HOME HEALTH SERVICES,11117 WEST OKEECHOBEE RD SUITE 211,HIALEAH GARDENS,FL,33018
109381,01-JAN-11,31-DEC-11,As Submitted,EFFECTOVE HOME HEALTH CARE SERV,10300 SW 72 STREET #360,MIAMI,FL,33173
117308,01-JAN-11,31-DEC-11,As Submitted,NORTHWEST GEORGIA HOME HEALTH  LLC,420 W PINHOOK ROAD  STE A,LAFAYETTE,LA,70503
147873,01-JAN-11,31-DEC-11,As Submitted,RAINBOW HEALTH CARE SERVICES  P.C,101 ROYCE ROAD,BOLINGBROOK,IL,60440
157243,01-JAN-11,31-DEC-11,As Submitted,HEALTH FORCE OF INDIANA,334 N ENTERPRISE DRIVE,WARSAW,IN,46580
197266,01-JAN-11,31-DEC-11,As Submitted,RICHARDSON MEDICAL CENTER HOMECARE,420 W PINHOOK RD  SUITE A,LAFAYETTE,LA,70503
457896,01-JAN-11,31-DEC-11,As Submitted,CATALYST HEALTH SERVICES  INC,223 W 25TH STREET,HOUSTON,TX,77008
459321,01-JAN-11,31-DEC-11,As Submitted,AFTERCARE VISTING NURSE SVC  LLC,106 N GRACE,CROCKETT,TX,75835
679103,01-JAN-11,31-DEC-11,As Submitted,TEXAS HOME HEALTH-SILSBEE,840 NORTH FIFTH STREET,SILSBEE,TX,77656-3841
747047,01-JAN-11,31-DEC-11,As Submitted,AYUDA HOME HEALTH CARE SERVICES,6044 GATEWAY BLVD E,EL PASO,TX,79905
747365,01-JAN-11,31-DEC-11,As Submitted,GUIDING LIGHT HEALTHCARE SERVICES,10707 CORPORATE DR #203,HOUSTON,TX,77477
267511,01-AUG-10,31-JUL-11,Settled,JENNIFER S HOME HEALTH AGENCY,225 EAST SUNSHINE,SPRINGFIELD,MO,65807
459496,01-AUG-10,31-JUL-11,Settled,GIRLING HEALTH CARE - LUBBOCK,5010 KENOSHA  STE A,LUBBOCK,TX,79413
397053,01-JUL-10,30-JUN-11,Settled,VNA HEALTH SYSTEM,21 WEST INDEPENDENCE STREET,SHAMOKIN,PA,17872
067440,01-JAN-11,31-DEC-11,As Submitted,CENTENNIAL HOME CARE,1111 WEST VICTORY WAY # 107,CRAIG,CO,81625
287003,01-JAN-11,31-DEC-11,As Submitted,VISITING NURSE ASSOC OF THE MIDLANDS,12565 WEST CENTER RD  SUITE 100,OMAHA,NE,68144
398089,01-JAN-11,31-DEC-11,As Submitted,FREEDOM HOME CARE,112 BUTTERNUT COURT,EIGHTY-FOUR,PA,15330
497625,01-JAN-11,31-DEC-11,As Submitted,INNOVATIVE SENIOR CARE HOME HEALTH,1717  BELLVUE AVENUE,RICHMOND,VA,23227-3961
107372,01-JAN-11,31-DEC-11,As Submitted,NHC HOMECARE--MARIANNA,4121 LAFAYETTE STREET,MARIANNA,FL,32446
147289,01-JAN-11,31-DEC-11,As Submitted,UNITED HOME HEALTH,216 WEST POINTE DR.,SWANSEA,IL,62226-8303
157549,01-JAN-11,31-DEC-11,As Submitted,FAMILY HOME HEALTH CARE  INC.,2057 W. GLEN PARK AVENUE,GRIFFITH,IN,46319-3704
447153,01-JAN-11,31-DEC-11,As Submitted,NHC HOMECARE--JOHNSON CITY,1617A WEST MARKET STREET,JOHNSON CITY,TN,37604
453161,01-JAN-11,31-DEC-11,As Submitted,THE NURSEBEE CORPORATION,6114 MCPHERSON RD,LAREDO,TX,78041
673164,01-JAN-11,31-DEC-11,As Submitted,IN-HOMEHEALTH CARE SERVICES INC,1005 EAST 10TH STREET,WESLACO,TX,78596
677569,01-JAN-11,31-DEC-11,As Submitted,MORNINGSTAR HHC SERVICES,318 BRIAR ROCK RD,THE WOODLANDS,TX,77380
679104,01-JAN-11,31-DEC-11,As Submitted,TEXAS HOME HEALTH-GALVESTON,4920A SEAWALL BLVD,GALVESTON,TX,77551-5991
679210,01-JAN-11,31-DEC-11,As Submitted,WEST WYNDE HEALTH SERVICES INC,4707 KNIGHTS BRANCH DR,SUGARLAND,TX,77479
679233,01-JAN-11,31-DEC-11,As Submitted,TEXAS HOME HEALTH-WHARTON,2918 NORTH RICHMOND SUITE B,WHARTON,TX,77488-2006
187171,01-JUL-10,30-JUN-11,Settled,AMEDISYS HH CARE SVS- LOUISVILLE,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
047057,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH OF SEARCY,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
107232,01-JUL-10,30-JUN-11,Settled,AMEDISYS HH OF PALM BEACH,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
217048,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH - WESTMINISTER,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
167111,01-JUL-10,30-JUN-11,Settled,VAN BUREN COUNTY PHNS,P.O. BOX 514,KEOSAUQUA,IA,525653431
167409,01-JUL-10,30-JUN-11,Settled,NEW CHOICES  INC.,2501 18TH ST.  SUITE 201,BETTENDORF,IA,527223283
447505,01-JUL-10,30-JUN-11,Settled,AMEDISYS HH CARE - ELIZABETHTON,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
107097,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH - FT MYERS,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
147000,01-JUL-10,30-JUN-11,Settled,VNA HEALTH CARE,400 N. HIGHLAND,AURORA,IL,60506
397712,01-DEC-10,30-JUN-11,As Submitted,MADLYN AND LEONARD ABRAMSON CTR,1425 HORSHAM ROAD,NORTH WALES,PA,19454-1320
517011,01-JUL-10,30-JUN-11,As Submitted,MVA HOME HEALTH SERVICES,1322 LOCUST AVENUE,FAIRMONT,WV,26554
398037,01-AUG-10,31-JUL-11,As Submitted,ELITE HOME HEALTH CARE,4 NESHAMINTY INTERPLEX  SUITE 205,TREVOSE,PA,19053
537831,01-OCT-10,30-SEP-11,As Submitted,BEST HOME HEALTH AND HOSPICE,637 FRONT STREET,EVANSTON,WY,82930
127013,01-JUL-10,30-JUN-11,Settled,CARERESOURCE HAWAII,680 IWILEI ROAD  SUITE 660,HONOLULU,HI,96817
237252,01-JUL-10,30-JUN-11,Settled,GLOBAL HOME CARE  INC.,1883 E. MAPLE ROAD,TROY,MI,48083-4207
677665,01-JUL-10,30-JUN-11,Settled,ALWAYS CARING HOME CARE SERVICES,2800 N STANTON AVE,EL PASO,TX,79902
397744,01-JUL-10,30-JUN-11,Settled,EXTENDED FAMILY CARE-LANCASTER,1860 CHARTER LANE  SUITE 208,LANCASTER,PA,176016755
237671,01-JUL-10,30-JUN-11,Settled,HEALTHCALL HOMECARE LLC,20755 GREENFIELD RD STE 1001P,SOUTHFIELD,MI,48075
167273,01-JUL-10,30-JUN-11,Settled,MID-STEP SERVICES,4303 STONE AVE,SIOUX CITY,IA,51106
217131,01-JUL-10,30-JUN-11,Settled,JOHNS HOPKINS PEDIATRICS,5902 HOLABIRD AVE,BALTIMORE,MD,21224
527016,01-JUL-10,30-JUN-11,Settled,ASPIRUS VNA HOME HEALTH  INC,520 N 32ND AVENUE,WAUSAU,WI,54401
367730,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH OF TOLEDO,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
